Date,Open,High,Low,Close,Volume
2010-01-04,10.17,10.28,10.05,10.28,60855796
2010-01-05,10.45,11.24,10.40,10.96,215620138
2010-01-06,11.21,11.46,11.13,11.37,200070554
2010-01-07,11.46,11.69,11.32,11.66,130201626
2010-01-08,11.67,11.74,11.46,11.69,130462912
2010-01-11,11.90,12.14,11.78,12.11,170626174
2010-01-12,11.98,12.03,11.72,11.87,162995898
2010-01-13,11.91,11.93,11.47,11.68,154527028
2010-01-14,11.65,11.86,11.51,11.76,116572673
2010-01-15,11.74,11.76,11.55,11.6,96174717
2010-01-19,11.51,11.83,11.46,11.75,65933944
2010-01-20,11.68,11.69,11.50,11.51,71649459
2010-01-21,11.53,11.62,11.01,11.18,121451396
2010-01-22,11.01,11.12,10.41,10.52,161530010
2010-01-25,10.73,11.10,10.61,11.03,121621423
2010-01-26,11.17,11.46,11.07,11.19,108250462
2010-01-27,11.57,11.62,11.22,11.55,105091531
2010-01-28,11.90,11.95,11.27,11.41,203466724
2010-01-29,11.60,11.61,10.70,10.84,159741164
2010-02-01,11.14,11.18,10.93,11.12,82748130
2010-02-02,11.26,11.52,11.19,11.39,119785377
2010-02-03,11.49,11.66,11.42,11.64,90125495
2010-02-04,11.49,11.53,11.00,11.06,129792142
2010-02-05,10.97,11.11,10.49,10.91,181535182
2010-02-08,11.09,11.32,10.88,10.97,92031327
2010-02-09,11.18,11.22,11.02,11.15,83207091
2010-02-10,11.12,11.14,10.90,10.94,73395561
2010-02-11,11.00,11.18,10.88,11.18,65116156
2010-02-12,10.92,11.18,10.85,11.12,69465400
2010-02-16,11.21,11.38,11.11,11.32,62537480
2010-02-17,11.43,11.52,11.35,11.49,65983124
2010-02-18,11.41,11.48,11.29,11.38,53406735
2010-02-19,11.35,11.40,11.26,11.29,46989996
2010-02-22,11.36,11.38,11.18,11.21,41993070
2010-02-23,11.18,11.63,11.15,11.6,114688393
2010-02-24,11.72,11.88,11.65,11.73,84200733
2010-02-25,11.53,11.83,11.40,11.78,83114433
2010-02-26,11.83,11.85,11.61,11.74,72368345
2010-03-01,11.81,12.42,11.75,12.41,142605445
2010-03-02,12.62,12.68,12.18,12.22,193706534
2010-03-03,12.46,12.83,12.35,12.69,157004555
2010-03-04,12.78,12.80,12.52,12.79,89836710
2010-03-05,12.92,13.04,12.83,13.0,106920602
2010-03-08,12.94,12.96,12.79,12.93,78903174
2010-03-09,12.83,13.03,12.73,12.8,83934217
2010-03-10,12.88,12.95,12.80,12.82,56850540
2010-03-11,12.79,12.97,12.75,12.91,59385985
2010-03-12,13.02,13.37,12.98,13.34,104770909
2010-03-15,13.46,13.63,13.32,13.4,95198188
2010-03-16,13.49,13.51,13.32,13.49,74692616
2010-03-17,13.55,14.15,13.55,14.1,137318668
2010-03-18,14.23,14.54,13.65,13.73,235094317
2010-03-19,13.91,13.92,13.04,13.29,252413612
2010-03-22,12.98,14.00,12.81,13.99,170576031
2010-03-23,14.17,14.30,13.81,13.9,167002341
2010-03-24,13.77,14.05,13.76,13.9,91820854
2010-03-25,14.05,14.12,13.76,13.8,88909207
2010-03-26,13.89,13.98,13.76,13.86,60400334
2010-03-29,13.70,13.88,13.39,13.57,158224973
2010-03-30,13.55,13.64,13.18,13.28,142055129
2010-03-31,12.82,12.95,12.42,12.57,433659040
2010-04-01,12.84,12.95,12.58,12.63,212952064
2010-04-05,12.89,12.92,12.76,12.77,88957147
2010-04-06,12.78,12.88,12.60,12.7,76423715
2010-04-07,12.69,12.82,12.53,12.58,88112383
2010-04-08,12.55,12.71,12.34,12.63,77491353
2010-04-09,12.73,12.84,12.61,12.72,60408583
2010-04-12,12.72,12.81,12.64,12.77,50783053
2010-04-13,12.75,12.89,12.71,12.79,71008470
2010-04-14,12.92,13.43,12.86,13.35,153602044
2010-04-15,13.42,13.88,13.41,13.76,159110456
2010-04-16,13.84,13.92,13.30,13.42,149644441
2010-04-19,13.38,13.75,13.36,13.6,95855052
2010-04-20,13.72,13.94,13.67,13.91,75630699
2010-04-21,14.02,14.15,13.92,14.13,120393065
2010-04-22,14.00,14.23,13.85,14.2,93331069
2010-04-23,14.22,14.39,14.11,14.21,92002193
2010-04-26,14.39,14.57,14.28,14.46,123029116
2010-04-27,14.44,14.50,13.15,13.57,292667383
2010-04-28,13.39,13.45,12.90,13.25,208023452
2010-04-29,13.45,13.70,13.38,13.58,110114356
2010-04-30,13.64,13.73,12.96,13.02,146322816
2010-05-03,13.18,13.49,13.18,13.3,106416777
2010-05-04,13.07,13.08,12.75,12.85,123207308
2010-05-05,12.32,12.70,11.59,12.34,198525532
2010-05-06,12.17,12.51,10.59,11.78,237086247
2010-05-07,11.95,11.97,10.95,11.51,261066492
2010-05-10,12.54,12.56,12.02,12.15,134388670
2010-05-11,11.99,12.56,11.85,12.31,125738941
2010-05-12,12.57,12.71,12.49,12.68,102656959
2010-05-13,12.87,12.87,12.32,12.42,100159960
2010-05-14,12.25,12.35,11.87,12.11,105855905
2010-05-17,12.08,12.18,11.49,11.95,108686652
